Model,Train_Time_Before_PCA_Seconds,Train_Time_After_PCA_Seconds,Train_Time_Change_Seconds,Predict_Time_Before_PCA_Seconds,Predict_Time_After_PCA_Seconds,Predict_Time_Change_Seconds
Decision Tree,0.030838500009849668,0.06330589996650815,0.03246739995665848,0.008332099998369813,0.01019220007583499,0.0018601000774651766
SVM,0.4587052999995649,0.3945978998672217,-0.06410740013234317,0.2972758000250906,0.2954350998625159,-0.0018407001625746489
