Model,Accuracy_Before_PCA,Accuracy_After_PCA,Accuracy_Change
Decision Tree,0.7155702792238523,0.7278750591575959,0.01230477993374357
SVM,0.7453857075248462,0.7434926644581165,-0.0018930430667297715
