Model,Accuracy,Precision,Recall,F1_Score
Decision Tree,0.7155702792238523,0.4782135076252723,0.7825311942959001,0.5936443542934415
SVM,0.7453857075248462,0.5133256083429896,0.7896613190730838,0.6221910112359551
